career,skills,interests,personality,work_style,goals
Data Scientist,9,8,7,6,9
UX Designer,6,9,8,7,6
Software Engineer,8,7,6,8,8
Digital Marketer,7,9,7,6,7
Product Manager,8,7,8,9,8
AI Researcher,9,8,6,7,9
Business Analyst,7,6,8,7,7
Web Developer,8,7,7,6,7
Graphic Designer,6,9,9,5,6
Cybersecurity Analyst,9,6,6,9,8
Financial Analyst,8,7,8,8,8
Mechanical Engineer,7,6,7,7,8
Electrical Engineer,8,7,6,7,7
Civil Engineer,7,6,6,6,7
Doctor,9,8,7,8,9
Nurse,8,7,8,8,8
Teacher,7,8,8,7,7
Professor,8,7,7,6,8
Psychologist,7,9,9,6,8
Lawyer,9,6,7,8,8
Content Writer,7,8,7,6,6
Animator,6,9,9,6,6
Architect,8,7,7,7,7
Game Developer,9,8,7,8,8
Social Worker,6,9,9,7,9
HR Manager,7,6,8,7,7
Sales Executive,7,7,7,6,8
Entrepreneur,9,9,8,8,9
Blockchain Developer,9,8,6,7,9
Biotech Researcher,9,7,7,7,9
